transaction_id,user_id,transaction_date,transaction_time,transaction_type,transaction_category,amount,currency,transaction_status,payment_method,age_group,country,city,subscription_plan,fraud_flag,transaction_fee,revenue_generated,cashback_amount,year,month,month_name,day_of_week,hour
TXN007094,USR93203,2023-01-01,9:12:25,Transfer,Utilities,850.38,EUR,Successful,Card,45-54,France,Bordeaux,Plus,0,8.5,6.8,4.25,2023,1,January,Sunday,9
TXN011155,USR17160,2023-01-01,13:45:55,Transfer,Shopping,4745.29,GBP,Successful,Bank Transfer,25-34,United Kingdom,Glasgow,Standard,1,71.18,56.94,0.0,2023,1,January,Sunday,13
TXN002651,USR24022,2023-01-01,15:11:31,Purchase,Uncategorised,409.4,GBP,Successful,Apple Pay,25-34,United Kingdom,Manchester,Standard,0,6.14,4.91,0.0,2023,1,January,Sunday,15
TXN011642,USR85377,2023-01-01,21:01:06,Purchase,Food & Dining,643.73,EUR,Successful,Google Pay,35-44,France,Marseille,Metal,0,1.29,1.03,9.66,2023,1,January,Sunday,21
TXN003802,USR80439,2023-01-01,22:24:18,Purchase,Shopping,143.16,GBP,Successful,Apple Pay,25-34,United Kingdom,Bristol,Metal,0,0.29,0.23,2.15,2023,1,January,Sunday,22
TXN009294,USR63026,2023-01-01,12:49:47,Purchase,Transfer,640.31,GBP,Successful,Card,25-34,United Kingdom,Manchester,Standard,0,9.6,7.68,0.0,2023,1,January,Sunday,12
TXN000803,USR94912,2023-01-01,19:38:27,Transfer,Food & Dining,1497.21,EUR,Failed,Bank Transfer,35-44,Germany,Hamburg,Standard,0,22.46,17.97,0.0,2023,1,January,Sunday,19
TXN001561,USR54759,2023-01-01,8:21:11,Purchase,Healthcare,306.14,EUR,Successful,Card,18-24,Germany,Munich,Standard,0,4.59,3.67,0.0,2023,1,January,Sunday,8
TXN010831,USR96108,2023-01-01,1:28:53,Purchase,Food & Dining,1215.27,EUR,Failed,Direct Debit,25-34,Italy,Florence,Metal,0,2.43,1.94,0.0,2023,1,January,Sunday,1
TXN014746,USR82089,2023-01-01,15:56:32,Transfer,Healthcare,4884.32,EUR,Successful,Card,25-34,Netherlands,Utrecht,Standard,0,73.26,58.61,0.0,2023,1,January,Sunday,15
TXN011112,USR17224,2023-01-01,18:47:38,Purchase,Other,511.11,EUR,Failed,Bank Transfer,25-34,Netherlands,Rotterdam,Premium,0,2.56,2.05,0.0,2023,1,January,Sunday,18
TXN014903,USR44619,2023-01-01,22:04:12,Purchase,Entertainment,102.56,EUR,Successful,Card,25-34,Germany,Frankfurt,Metal,0,0.21,0.17,1.54,2023,1,January,Sunday,22
TXN005144,USR58717,2023-01-01,8:49:20,Top-up,Travel,1006.25,GBP,Successful,Bank Transfer,25-34,United Kingdom,Bristol,Standard,0,15.09,12.07,0.0,2023,1,January,Sunday,8
