transaction_id,user_id,transaction_date,transaction_time,transaction_type,transaction_category,amount,currency,transaction_status,payment_method,age_group,country,city,subscription_plan,fraud_flag,transaction_fee,revenue_generated,cashback_amount
TXN007094,USR93203,1/1/2023,9:12:25,Transfer,Utilities,850.38,EUR,Successful,Card,45-54,France,Bordeaux,Plus,0,8.5,6.8,4.25
TXN011155,USR17160,1/1/2023,13:45:55,Transfer,Shopping,4745.29,GBP,Successful,Bank Transfer,25-34,United Kingdom,Glasgow,Standard,1,71.18,56.94,0
TXN002651,USR24022,1/1/2023,15:11:31,Purchase,,409.4,GBP,Successful,Apple Pay,25-34,United Kingdom,Manchester,Standard,0,6.14,4.91,0
TXN011642,USR85377,1/1/2023,21:01:06,Purchase,Food & Dining,643.73,EUR,Successful,Google Pay,35-44,France,Marseille,Metal,0,1.29,1.03,9.66
TXN003802,USR80439,1/1/2023,22:24:18,Purchase,Shopping,143.16,GBP,Successful,Apple Pay,25-34,United Kingdom,Bristol,Metal,0,0.29,0.23,2.15
TXN009294,USR63026,1/1/2023,12:49:47,Purchase,Transfer,640.31,GBP,Successful,Card,25-34,United Kingdom,Manchester,Standard,0,9.6,7.68,0
TXN000803,USR94912,1/1/2023,19:38:27,Transfer,Food & Dining,1497.21,EUR,Failed,Bank Transfer,35-44,Germany,Hamburg,Standard,0,22.46,17.97,0
TXN001561,USR54759,1/1/2023,8:21:11,Purchase,Healthcare,306.14,EUR,Successful,Card,18-24,Germany,Munich,Standard,0,4.59,3.67,0
TXN010831,USR96108,1/1/2023,1:28:53,Purchase,Food & Dining,1215.27,EUR,Failed,Direct Debit,25-34,Italy,Florence,Metal,0,2.43,1.94,0
TXN014746,USR82089,1/1/2023,15:56:32,Transfer,Healthcare,4884.32,EUR,Successful,Card,25-34,Netherlands,Utrecht,Standard,0,73.26,58.61,0
TXN011112,USR17224,1/1/2023,18:47:38,Purchase,Other,511.11,EUR,Failed,Bank Transfer,25-34,Netherlands,Rotterdam,Premium,0,2.56,2.05,0
TXN014903,USR44619,1/1/2023,22:04:12,Purchase,Entertainment,102.56,EUR,Successful,Card,25-34,Germany,Frankfurt,Metal,0,0.21,0.17,1.54
TXN005144,USR58717,1/1/2023,8:49:20,Top-up,Travel,1006.25,GBP,Successful,Bank Transfer,25-34,United Kingdom,Bristol,Standard,0,15.09,12.07,0
TXN002489,USR42266,1/1/2023,17:25:38,Purchase,Transfer,255.35,USD,Successful,Card,35-44,United States,New York,Standard,0,3.83,3.06,0
TXN013332,USR32786,1/1/2023,13:51:19,Top-up,Food & Dining,1692.19,USD,Successful,Card,25-34,United States,Chicago,Plus,0,16.92,13.54,8.46
TXN000485,USR63903,1/1/2023,14:34:27,Purchase,Food & Dining,898.32,GBP,Reversed,Apple Pay,18-24,United Kingdom,London,Premium,0,4.49,3.59,0
TXN010742,USR81149,1/2/2023,21:31:31,Purchase,Healthcare,265.82,GBP,Successful,Bank Transfer,35-44,United Kingdom,Liverpool,Standard,0,3.99,3.19,0
TXN012330,USR35198,1/2/2023,18:31:42,Purchase,Food & Dining,191.41,EUR,Successful,Apple Pay,35-44,Germany,Berlin,Plus,0,1.91,1.53,0.96
TXN008308,USR86238,1/2/2023,8:54:26,Transfer,Food & Dining,2393.85,EUR,Successful,Card,18-24,Spain,Madrid,Premium,0,11.97,9.58,23.94
TXN003792,USR38204,1/2/2023,14:03:19,Refund,Travel,382.14,GBP,Failed,Bank Transfer,35-44,United Kingdom,Birmingham,Standard,0,5.73,4.58,0
TXN013023,USR10679,1/2/2023,15:04:27,Top-up,Utilities,2315.31,EUR,Successful,Card,55+,Spain,Madrid,Plus,0,23.15,18.52,11.58
TXN004198,USR19392,1/2/2023,22:00:35,Purchase,Travel,862.58,EUR,Successful,,25-34,Spain,Valencia,Plus,0,8.63,6.9,4.31
TXN013979,USR33351,1/2/2023,12:40:07,Transfer,Shopping,2298.43,EUR,Successful,Google Pay,35-44,Germany,Berlin,Standard,0,34.48,27.58,0
TXN011380,USR47375,1/2/2023,8:49:47,Purchase,Entertainment,453.53,GBP,Failed,Bank Transfer,25-34,United Kingdom,Bristol,Standard,0,6.8,5.44,
TXN009006,USR97823,1/2/2023,17:53:03,Transfer,Healthcare,4415.08,GBP,Successful,Direct Debit,,United Kingdom,Edinburgh,Premium,0,22.08,17.66,44.15
TXN004010,USR93724,1/2/2023,3:36:05,Purchase,Travel,209.2,EUR,Successful,Card,25-34,France,Paris,Standard,0,3.14,2.51,0
TXN008826,USR29073,1/2/2023,3:56:57,Top-up,Transfer,220.68,EUR,Successful,Apple Pay,35-44,France,Paris,Standard,0,3.31,2.65,0
TXN009624,USR46467,1/2/2023,5:14:18,Purchase,Travel,246.63,USD,Successful,Apple Pay,35-44,United States,New York,Standard,0,3.7,2.96,0
TXN014336,USR72242,1/2/2023,18:45:37,Purchase,,302.11,GBP,Failed,Card,,United Kingdom,Glasgow,Premium,1,1.51,1.21,0
TXN006568,USR42151,1/3/2023,7:34:55,Transfer,Transfer,6075.41,EUR,Failed,Google Pay,25-34,Germany,Hamburg,Premium,0,30.38,24.3,0
TXN008252,USR28909,1/3/2023,10:43:47,Top-up,Travel,746.43,EUR,Failed,Apple Pay,18-24,Netherlands,Utrecht,Metal,0,1.49,1.19,0
TXN009247,USR10832,1/3/2023,14:19:44,Purchase,Shopping,370.54,USD,Successful,Card,18-24,United States,New York,Premium,0,1.85,1.48,3.71
TXN011841,USR20852,1/3/2023,18:13:27,Purchase,Healthcare,87.1,EUR,Failed,Bank Transfer,25-34,France,Paris,Standard,0,1.31,1.05,
TXN013232,USR76265,1/3/2023,4:37:00,Transfer,Travel,746.7,EUR,Successful,Apple Pay,45-54,Germany,Berlin,Plus,0,7.47,5.98,3.73
TXN009824,USR53425,1/3/2023,8:36:05,Purchase,Food & Dining,270.51,GBP,Reversed,Card,45-54,United Kingdom,Bristol,Plus,1,2.71,2.17,0
